date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:42:33	20/20	---MCZ	302	error ('Found')	text/html	date:Thu,%2012%20Jan%202017%2011:42:47%20GMT	http://oceanar.io/robots.txt		(from )
09:42:33	60580/60580	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202017%2011:42:47%20GMT	http://oceanar.io/	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/index.html	(from )
09:42:36	13522/13522	---M--	200	added ('OK')	text/css	etag:%221526922253%22	http://oceanar.io/css/style.css?9ce68f6125683cc1	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/css/style8774.css	(from http://oceanar.io/)
09:42:38	49681/49681	---M--	200	added ('OK')	image/png	etag:%2232955111%22	http://oceanar.io/images/og/logo.png	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/images/og/logo.png	(from http://oceanar.io/)
09:42:39	75025/75025	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2010%20Jan%202017%2017:58:51%20GMT	https://mc.yandex.ru/metrika/watch.js	D:/arquivos%20e%20programas/internet/deposit/ctrlc/mc.yandex.ru/metrika/watch.js	(from http://oceanar.io/)
09:42:39	14530/14530	---M--	200	added ('OK')	image/jpeg	etag:%223138577817%22	http://oceanar.io/images/background.jpg	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/images/background.jpg	(from http://oceanar.io/)
09:42:39	0/0	---MCZ	302	error ('Found')	text/html	date:Thu,%2012%20Jan%202017%2011:42:53%20GMT	http://oceanar.io/en	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/en.4.delayed	(from http://oceanar.io/)
09:42:43	0/0	---MCZ	302	error ('Found')	text/html	date:Thu,%2012%20Jan%202017%2011:42:57%20GMT	http://oceanar.io/es	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/es.5.delayed	(from http://oceanar.io/)
09:42:44	0/0	---MCZ	302	error ('Found')	text/html	date:Thu,%2012%20Jan%202017%2011:42:57%20GMT	http://oceanar.io/ru	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/ru.6.delayed	(from http://oceanar.io/)
09:42:45	18888/18888	---M--	200	added ('OK')	image/png	etag:%22116847104%22	http://oceanar.io/images/instagram.png	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/images/instagram.png	(from http://oceanar.io/)
09:42:48	6927/6927	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202017%2011:43:01%20GMT	http://oceanar.io/privacy	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/privacy.html	(from http://oceanar.io/)
09:42:49	8248/8248	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202017%2011:43:02%20GMT	http://oceanar.io/contact	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/contact.html	(from http://oceanar.io/)
09:42:49	6625/6625	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202017%2011:43:02%20GMT	http://oceanar.io/terms	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/terms.html	(from http://oceanar.io/)
09:42:50	9746/9746	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202017%2011:43:03%20GMT	http://oceanar.io/changelog	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/changelog.html	(from http://oceanar.io/)
09:42:52	78186/78186	---M--	200	added ('OK')	image/png	etag:%22151146421%22	http://oceanar.io/images/logo.png	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/images/logo.png	(from http://oceanar.io/)
09:42:52	13680/13680	---M--	200	added ('OK')	application/octet-stream	etag:%222873258063%22	http://oceanar.io/fonts/oceanar.io.woff?2	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/fonts/oceanar.ioc81e.woff	(from http://oceanar.io/)
